asset,weight
INSTRUMENT_1,0.4
INSTRUMENT_2,0.0357
INSTRUMENT_3,0.0
INSTRUMENT_4,0.0
INSTRUMENT_5,0.0916
INSTRUMENT_6,0.0
INSTRUMENT_7,0.4
INSTRUMENT_8,0.0
INSTRUMENT_9,0.0727
INSTRUMENT_10,0.0
